Location,Date,Time,Latitude,Longitude,Altitude,YRMODAHRMI,Month,Hour,Season,Humidity,AmbientTemp,PolyPwr,Wind.Speed,Visibility,Pressure,Cloud.Ceiling
Grissom,20180710,1300,40.67,-86.15,239,201807000000.0,7,13,Summer,40.39307,43.17726,21.03012,11,10.0,989.5,722
Travis,20171113,1500,38.16,-121.56,1,201711000000.0,11,15,Fall,58.3252,22.02606,1.01737,10,10.0,1018.4,33
Peterson,20180311,1100,38.82,-104.71,1879,201803000000.0,3,11,Spring,4.94995,32.83455,11.96643,0,10.0,817.0,722
Peterson,20171212,1500,38.82,-104.71,1879,201712000000.0,12,15,Winter,4.79126,26.45721,5.45892,7,10.0,816.2,722
JDMT,20180422,1300,26.98,-80.11,2,201804000000.0,4,13,Spring,48.42529,36.73698,28.65641,15,10.0,1018.9,20
USAFA,20180525,1100,38.95,-104.83,1947,201805000000.0,5,11,Spring,17.75513,36.16295,18.63873,9,10.0,801.7,722
Peterson,20180215,1215,38.82,-104.71,1879,201802000000.0,2,12,Winter,11.25488,19.41772,2.39332,23,10.0,805.2,240
Travis,20170803,1100,38.16,-121.56,1,201708000000.0,8,11,Summer,29.11377,32.29576,11.07617,17,10.0,1009.9,722
Peterson,20180302,1000,38.82,-104.71,1879,201803000000.0,3,10,Spring,5.70679,27.72865,2.5693,9,10.0,808.9,722
Peterson,20180826,1500,38.82,-104.71,1879,201808000000.0,8,15,Summer,10.19287,40.71495,15.68588,7,10.0,809.4,722
JDMT,20170703,1500,26.98,-80.11,2,201707000000.0,7,15,Summer,49.57275,39.30756,13.0331,11,10.0,1018.9,722
JDMT,20170803,1300,26.98,-80.11,2,201708000000.0,8,13,Summer,45.34302,41.27892,25.8605,17,10.0,1020.3,722
Malmstrom,20180328,1415,47.52,-111.18,1043,201803000000.0,3,14,Spring,43.41431,11.02371,1.93512,20,10.0,893.6,722
MNANG,20180214,1500,44.89,-93.2,246,201802000000.0,2,15,Winter,22.11304,23.83377,9.36105,9,10.0,975.7,722
Travis,20180517,1300,38.16,-121.56,1,201805000000.0,5,13,Spring,30.62744,31.64871,21.50598,10,10.0,1011.9,722
Hill Weber,20180911,1300,41.15,-111.99,1370,201809000000.0,9,13,Fall,10.2417,38.01346,19.77429,5,10.0,850.2,722
Peterson,20180702,1500,38.82,-104.71,1879,201807000000.0,7,15,Summer,6.57349,39.42589,19.46285,18,10.0,810.0,722
Grissom,20180921,1300,40.67,-86.15,239,201809000000.0,9,13,Fall,61.24878,31.69151,9.51446,20,10.0,984.9,44
Hill Weber,20170713,1300,41.15,-111.99,1370,201707000000.0,7,13,Summer,10.62012,51.58638,18.94879,3,10.0,857.2,722
JDMT,20170719,1200,26.98,-80.11,2,201707000000.0,7,12,Summer,54.41895,38.74863,27.81442,9,10.0,1019.3,60
Offutt,20180427,1500,41.13,-95.75,380,201804000000.0,4,15,Spring,12.56104,33.54706,20.99933,22,10.0,973.5,722
Hill Weber,20170715,1000,41.15,-111.99,1370,201707000000.0,7,10,Summer,28.17383,31.62102,14.23839,17,10.0,858.4,722
USAFA,20171001,1315,38.95,-104.83,1947,201710000000.0,10,13,Fall,16.02173,33.62259,18.5502,15,10.0,791.2,722
Hill Weber,20180601,1400,41.15,-111.99,1370,201806000000.0,6,14,Summer,18.98193,29.03534,24.83134,10,10.0,857.2,722
Travis,20171220,1500,38.16,-121.56,1,201712000000.0,12,15,Winter,36.95068,18.80592,6.89883,0,10.0,1019.7,722
Peterson,20180820,1200,38.82,-104.71,1879,201808000000.0,8,12,Summer,14.00757,45.84099,17.8231,7,8.0,818.2,722
Grissom,20180715,1045,40.67,-86.15,239,201807000000.0,7,10,Summer,62.65869,31.54549,8.31943,7,10.0,986.8,722
JDMT,20180308,1300,26.98,-80.11,2,201803000000.0,3,13,Spring,20.45288,33.50174,27.50811,18,10.0,1017.6,722
Peterson,20170806,1000,38.82,-104.71,1879,201708000000.0,8,10,Summer,21.59424,37.9908,12.2422,15,10.0,815.3,722
Camp Murray,20171213,1200,47.11,-122.57,84,201712000000.0,12,12,Winter,20.41016,29.67735,4.96093,5,10.0,1018.6,722
Hill Weber,20170622,1300,41.15,-111.99,1370,201706000000.0,6,13,Summer,8.1665,41.93352,23.50047,8,10.0,854.6,722
Peterson,20180324,1500,38.82,-104.71,1879,201803000000.0,3,15,Spring,20.92285,19.4429,1.33752,22,10.0,806.6,200
MNANG,20180826,1345,44.89,-93.2,246,201808000000.0,8,13,Summer,76.42212,27.83188,4.63005,13,9.1,979.6,30
Travis,20180324,1300,38.16,-121.56,1,201803000000.0,3,13,Spring,55.42603,17.43881,25.2057,21,10.0,1014.6,50
USAFA,20180702,1315,38.95,-104.83,1947,201807000000.0,7,13,Summer,7.48291,49.01581,19.17293,11,10.0,799.5,722
Peterson,20171130,1300,38.82,-104.71,1879,201711000000.0,11,13,Fall,7.80029,28.43109,9.99565,6,10.0,815.3,722
March AFB,20170828,1500,33.9,-117.26,458,201708000000.0,8,15,Summer,15.35034,43.29056,4.99789,6,10.0,955.0,100
Grissom,20180427,1200,40.67,-86.15,239,201804000000.0,4,12,Spring,34.33838,23.81111,18.18366,16,10.0,978.9,722
Offutt,20180807,1130,41.13,-95.75,380,201808000000.0,8,11,Summer,85.60791,27.72865,18.20071,3,10.0,978.4,11
March AFB,20180416,1300,33.9,-117.26,458,201804000000.0,4,13,Spring,37.26807,23.96217,21.2804,14,10.0,960.5,722
March AFB,20180618,1300,33.9,-117.26,458,201806000000.0,6,13,Summer,24.33472,31.67389,20.44062,8,10.0,960.5,722
Travis,20180621,1400,38.16,-121.56,1,201806000000.0,6,14,Summer,23.96851,37.49985,21.21269,0,10.0,1011.3,722
